year,nameplate_cap,summer_cap,num_facilities,num_generators,state,tot_nameplate_cap,tot_summer_cap,tot_num_gen,tot_num_facilities,tot_cap_change,tot_cap_growth_rate,p_nameplate_cap,p_summer_cap,cap_change,cap_growth_rate,energy_source
2014,17922.1,15900.2,31,0,GA,41272.4,38249.7,0,129,7.099999999998545,0.017202779581508572,0.4342393463912929,0.4156947636190611,-33.400000000001455,-0.0018636208926410107,Natural Gas
2015,18686.4,16599.6,34,0,GA,39045.2,36302.6,0,135,-2227.2000000000044,-5.704158257609142,0.47858379519121436,0.45725650504371584,764.3000000000029,0.04090140422981435,Natural Gas
2016,18652.3,16577.9,32,0,GA,39753,37077.5,0,158,707.8000000000029,1.7804945538701555,0.46920483988629785,0.44711482705144634,-34.10000000000218,-0.0018281927697925823,Natural Gas
2017,18717.4,16584,33,0,GA,39829.7,37097.3,0,161,76.69999999999709,0.19256986620536207,0.4699357514618489,0.44704062020686136,65.10000000000218,0.0034780471646704233,Natural Gas
2018,18729.9,16622.9,33,0,GA,39657.4,36988.6,0,164,-172.29999999999563,-0.4344712462238967,0.4722926868629815,0.4494060332102324,12.5,6.673821002781648e-4,Natural Gas
1991,3950,3714.1,2,0,GA,23947.3,21730.8,0,97,1645.5999999999985,6.871755897324536,0.164945526217987,0.17091409428092846,0,0,Nuclear
1992,3950,3741.4,2,0,GA,24276.6,22406.9,0,113,329.2999999999993,1.35645024426814,0.16270812222469375,0.16697535134266675,0,0,Nuclear
1993,3950,3824.7,2,0,GA,24228.1,22519.1,0,114,-48.5,-0.2001807818194576,0.1630338326158469,0.16984248926466866,0,0,Nuclear
1994,3950,3840,2,0,GA,25143.5,23432.4,0,140,915.4000000000015,3.6407023684053588,0.15709825601049973,0.16387565934347312,0,0,Nuclear
1995,3950,3900.4,2,0,GA,25948.8,23675.3,0,138,805.2999999999993,3.1034190405722013,0.15222283882106302,0.16474553648739404,0,0,Nuclear
1996,3950,3950,2,0,GA,25693.3,24192.6,0,139,-255.5,-0.9944226705016483,0.15373657723998085,0.16327306697089194,0,0,Nuclear
1997,4041.9,3955,2,0,GA,26492.1,24853.8,0,137,798.7999999999993,3.0152385050637713,0.1525700114373719,0.15913059572379273,91.90000000000009,0.022736831688067515,Nuclear
1998,4041.9,3947,2,0,GA,26487,25085.4,0,131,-5.099999999998545,-0.019254728734845565,0.1525993883792049,0.15734251795865323,0,0,Nuclear
1999,4041.9,4038,2,0,GA,26666.2,24988.1,0,131,179.20000000000073,0.6720117602058063,0.1515739025432945,0.16159692013398377,0,0,Nuclear
2000,4042,4145,2,0,GA,29427,27756,0,133,2760.7999999999993,9.381860196418252,0.1373568491521392,0.1493370802709324,0.09999999999990905,2.474022761007151e-5,Nuclear
2001,4042,4023,2,0,GA,31605,29482,0,134,2178,6.891314665401044,0.12789115646258503,0.136456142731158,0,0,Nuclear
2002,4042,4023,2,0,GA,37176,34601,0,139,5571,14.985474499677212,0.10872605982354207,0.11626831594462587,0,0,Nuclear
2003,4042,4040,2,0,GA,37626,34815,0,135,450,1.1959815021527667,0.10742571626003296,0.11604193594714922,0,0,Nuclear
2004,4042,4053,2,0,GA,38498,35338,0,134,872,2.265052730011949,0.1049924671411502,0.11469239911709775,0,0,Nuclear
2005,4042,4060,2,0,GA,39792,36531,0,134,1294,3.2519099316445517,0.10157820667470849,0.11113848512222496,0,0,Nuclear
2006,4042,4060,2,0,GA,39758,36499,0,131,-34,-0.08551738014990694,0.10166507369585995,0.11123592427189787,0,0,Nuclear
2007,4042,3995,2,0,GA,39767,36472,0,133,9,0.022631830412150777,0.10164206502879272,0.1095360824742268,0,0,Nuclear
2008,4042,4061,2,0,GA,39641,36456,0,131,-126,-0.3178527282359173,0.10196513710552206,0.11139455782312925,0,0,Nuclear
2009,4042,4061,2,0,GA,39639,36549,0,130,-2,-0.005045535962057569,0.10197028179318349,0.1111111111111111,0,0,Nuclear
2010,4042,4061,2,0,GA,39665,36636,0,132,26,0.06554897264590949,0.10190344132106391,0.11084725406703788,0,0,Nuclear
2011,4041.8,4061,2,0,GA,40208.1,37114.2,0,117,543.0999999999985,1.3507228642984834,0.1005220341175037,0.10941903637960673,-0.1999999999998181,-4.9482903656741576e-5,Nuclear
2012,4041.8,4061,2,0,GA,41554.1,38488.1,0,120,1346,3.2391508900445447,0.0972659737546957,0.10551313263060531,0,0,Nuclear
2013,4041.8,4061,2,0,GA,41265.3,38210.3,0,125,-288.79999999999563,-0.6998616270813386,0.09794670098121182,0.10628024380860657,0,0,Nuclear
2014,4041.8,4061,2,0,GA,41272.4,38249.7,0,129,7.099999999998545,0.017202779581508572,0.09792985142613465,0.10617076735242369,0,0,Nuclear
2015,4041.8,4061,2,0,GA,39045.2,36302.6,0,135,-2227.2000000000044,-5.704158257609142,0.10351592513292288,0.1118652658487271,0,0,Nuclear
2016,4041.8,4061,2,0,GA,39753,37077.5,0,158,707.8000000000029,1.7804945538701555,0.10167282972354288,0.10952734137954286,0,0,Nuclear
2017,4041.8,4061,2,0,GA,39829.7,37097.3,0,161,76.69999999999709,0.19256986620536207,0.10147703849137706,0.10946888318017753,0,0,Nuclear
2018,4041.8,4061,2,0,GA,39657.4,36988.6,0,164,-172.29999999999563,-0.4344712462238967,0.10191792704514165,0.10979058412591988,0,0,Nuclear
2014,45,44,1,1,GA,41272.4,38249.7,0,129,7.099999999998545,0.017202779581508572,0.0010903170157296402,0.0011503358196273436,-371.3,-8.251111111111111,Other
2016,46,45,2,0,GA,39753,37077.5,0,158,707.8000000000029,1.7804945538701555,0.001157145372676276,0.001213674061088261,1,0.021739130434782608,Other
2017,46,45,2,0,GA,39829.7,37097.3,0,161,76.69999999999709,0.19256986620536207,0.0011549170593803117,0.0012130262849317874,0,0,Other
2018,1,1,1,1,GA,39657.4,36988.6,0,164,-172.29999999999563,-0.4344712462238967,2.5215974824370736e-5,2.703535683967493e-5,-45,-45,Other
1993,1.6,1.6,0,0,GA,24228.1,22519.1,0,114,-48.5,-0.2001807818194576,6.6039020806419e-5,7.105079687909375e-5,-834.4,-521.5,Other Biomass
1994,2.4,2.3,0,0,GA,25143.5,23432.4,0,140,915.4000000000015,3.6407023684053588,9.545210491777199e-5,9.815469179426775e-5,0.7999999999999998,0.33333333333333326,Other Biomass
1995,2.4,2.3,0,0,GA,25948.8,23675.3,0,138,805.2999999999993,3.1034190405722013,9.24898261191269e-5,9.714766021972267e-5,0,0,Other Biomass
1996,7.9,7.5,0,0,GA,25693.3,24192.6,0,139,-255.5,-0.9944226705016483,3.074731544799617e-4,3.100121524763771e-4,5.5,0.6962025316455696,Other Biomass
1997,7.9,7.5,0,0,GA,26492.1,24853.8,0,137,798.7999999999993,3.0152385050637713,2.982021055333477e-4,3.0176472008304565e-4,0,0,Other Biomass
1998,7.9,7.5,0,0,GA,26487,25085.4,0,131,-5.099999999998545,-0.019254728734845565,2.9825952353984976e-4,2.9897868879906237e-4,0,0,Other Biomass
1999,7.9,7.5,0,0,GA,26666.2,24988.1,0,131,179.20000000000073,0.6720117602058063,2.9625518446572816e-4,3.001428680051705e-4,0,0,Other Biomass
2000,8,7,0,0,GA,29427,27756,0,133,2760.7999999999993,9.381860196418252,2.718591769463418e-4,2.5219772301484364e-4,0.09999999999999964,0.012499999999999956,Other Biomass
2001,8,7,0,0,GA,31605,29482,0,134,2178,6.891314665401044,2.531245056162e-4,2.374330099721864e-4,0,0,Other Biomass
2002,8,7,0,0,GA,37176,34601,0,139,5571,14.985474499677212,2.1519259737465033e-4,2.0230629172567267e-4,0,0,Other Biomass
2003,8,7,0,0,GA,37626,34815,0,135,450,1.1959815021527667,2.126189337160474e-4,2.0106276030446647e-4,0,0,Other Biomass
2004,53,49,0,0,GA,38498,35338,0,134,872,2.265052730011949,0.0013766948932412073,0.00138660931575075,45,0.8490566037735849,Other Biomass
2005,53,49,0,0,GA,39792,36531,0,134,1294,3.2519099316445517,0.0013319260152794533,0.001341326544578577,0,0,Other Biomass
2006,53,49,0,0,GA,39758,36499,0,131,-34,-0.08551738014990694,0.001333065043513255,0.0013425025343160087,0,0,Other Biomass
2007,58,54,0,0,GA,39767,36472,0,133,9,0.022631830412150777,0.0014584957376719391,0.0014805878482123272,5,0.08620689655172414,Other Biomass
2008,10,10,4,0,GA,39641,36456,0,131,-126,-0.3178527282359173,2.522640700285058e-4,2.743032696949748e-4,-48,-4.8,Other Biomass
2009,15,15,5,0,GA,39639,36549,0,130,-2,-0.005045535962057569,3.784151971543177e-4,4.1040794549782484e-4,5,0.3333333333333333,Other Biomass
2010,20,20,6,0,GA,39665,36636,0,132,26,0.06554897264590949,5.042228665069961e-4,5.459111256687411e-4,5,0.25,Other Biomass
2011,24.2,24.2,6,0,GA,40208.1,37114.2,0,117,543.0999999999985,1.3507228642984834,6.018687776840985e-4,6.520415366625174e-4,4.199999999999999,0.17355371900826444,Other Biomass
2012,30.8,30.8,7,0,GA,41554.1,38488.1,0,120,1346,3.2391508900445447,7.412024324916194e-4,8.002473491806559e-4,6.600000000000001,0.21428571428571433,Other Biomass
2013,36.1,36.1,8,0,GA,41265.3,38210.3,0,125,-288.79999999999563,-0.6998616270813386,8.748270338516865e-4,9.447714359740697e-4,5.300000000000001,0.14681440443213298,Other Biomass
2014,37.7,37.7,9,0,GA,41272.4,38249.7,0,129,7.099999999998545,0.017202779581508572,9.134433665112763e-4,9.856286454534284e-4,1.6000000000000014,0.0424403183023873,Other Biomass
2015,37.3,37.3,9,0,GA,39045.2,36302.6,0,135,-2227.2000000000044,-5.704158257609142,9.55303084630121e-4,0.0010274746161431964,-0.4000000000000057,-0.010723860589812485,Other Biomass
2016,61.5,60.4,12,0,GA,39753,37077.5,0,158,707.8000000000029,1.7804945538701555,0.0015470530525998037,0.001629020295327355,24.200000000000003,0.39349593495934965,Other Biomass
2017,63.1,62,12,0,GA,39829.7,37097.3,0,161,76.69999999999709,0.19256986620536207,0.0015842449227586452,0.0016712806592393515,1.6000000000000014,0.025356576862123635,Other Biomass
